"site_ID","lat","long","distance_to_chemfab","bearing","dataset","sample_date","sample_collection","PFOA","bearing_cat","aspect","slope","difference","slope_direction"
"10",42.9121841,-73.20326936,3828.960634,94.35437587,"DEC_dt_1",2016-06-23,"POET Influent",120,3,6,4.35291194915771,3,"NA"
"10",42.9121841,-73.20326936,3828.960634,94.35437587,"DEC_dt_1",2017-06-13,"POET Influent",173,3,6,4.35291194915771,3,"NA"
"10",42.9121841,-73.20326936,3828.960634,94.35437587,"DEC_dt_1",2018-08-01,"POET Influent",180,3,6,4.35291194915771,3,"NA"
"10",42.9121841,-73.20326936,3828.960634,94.35437587,"DEC_dt_1",2016-10-12,"POET Influent",160,3,6,4.35291194915771,3,"NA"
"10",42.9121841,-73.20326936,3828.960634,94.35437587,"DEC_dt_1",2019-07-29,"POET Influent",200,3,6,4.35291194915771,3,"NA"
"10",42.9121841,-73.20326936,3828.960634,94.35437587,"DEC_dt_1",2016-08-04,"POET Influent",110,3,6,4.35291194915771,3,"NA"
"10",42.9121841,-73.20326936,3828.960634,94.35437587,"DEC_dt_1",2016-04-12,"Raw",144,3,6,4.35291194915771,3,"NA"
"1002",42.92715399,-73.19035435,5052.31624,72.88627694,"DEC_dt_1",2018-05-02,"Raw",1.35,3,7,1.360919713974,4,"Towards"
"1002",42.92715399,-73.19035435,5052.31624,72.88627694,"DEC_dt_1",2017-10-18,"Raw",0,3,7,1.360919713974,4,"Towards"
"1002",42.92715399,-73.19035435,5052.31624,72.88627694,"DEC_dt_1",2016-09-29,"Raw",0,3,7,1.360919713974,4,"Towards"
"1002",42.92715399,-73.19035435,5052.31624,72.88627694,"DEC_dt_1",2021-04-28,"Raw",0,3,7,1.360919713974,4,"Towards"
"1002",42.92715399,-73.19035435,5052.31624,72.88627694,"DEC_dt_1",2022-04-25,"Raw",0,3,7,1.360919713974,4,"Towards"
"1002",42.92715399,-73.19035435,5052.31624,72.88627694,"DEC_dt_1",2018-10-24,"Raw",0,3,7,1.360919713974,4,"Towards"
"1002",42.92715399,-73.19035435,5052.31624,72.88627694,"DEC_dt_1",2021-10-26,"Raw",0,3,7,1.360919713974,4,"Towards"
"1002",42.92715399,-73.19035435,5052.31624,72.88627694,"DEC_dt_1",2017-04-12,"Raw",0,3,7,1.360919713974,4,"Towards"
"1002",42.92715399,-73.19035435,5052.31624,72.88627694,"DEC_dt_1",2020-10-21,"Raw",0,3,7,1.360919713974,4,"Towards"
"1002",42.92715399,-73.19035435,5052.31624,72.88627694,"DEC_dt_1",2019-12-17,"Raw",0,3,7,1.360919713974,4,"Towards"
"1002",42.92715399,-73.19035435,5052.31624,72.88627694,"DEC_dt_1",2020-06-17,"Raw",0,3,7,1.360919713974,4,"Towards"
"1003",42.90320299,-73.27178776,2212.402469,238.7716017,"DEC_dt_1",2020-09-04,"POET Influent",0,6,3,7.39391994476318,-3,"NA"
"1003",42.90320299,-73.27178776,2212.402469,238.7716017,"DEC_dt_1",2021-06-09,"POET Influent",0,6,3,7.39391994476318,-3,"NA"
"1003",42.90320299,-73.27178776,2212.402469,238.7716017,"DEC_dt_1",2021-02-23,"POET Influent",0,6,3,7.39391994476318,-3,"NA"
"1003",42.90320299,-73.27178776,2212.402469,238.7716017,"DEC_dt_1",2019-05-03,"POET Influent",0,6,3,7.39391994476318,-3,"NA"
"1003",42.90320299,-73.27178776,2212.402469,238.7716017,"DEC_dt_1",2021-11-01,"POET Influent",0,6,3,7.39391994476318,-3,"NA"
"1003",42.90320299,-73.27178776,2212.402469,238.7716017,"DEC_dt_1",2022-01-21,"POET Influent",0,6,3,7.39391994476318,-3,"NA"
"1003",42.90320299,-73.27178776,2212.402469,238.7716017,"DEC_dt_1",2019-08-16,"POET Influent",0,6,3,7.39391994476318,-3,"NA"
"1003",42.90320299,-73.27178776,2212.402469,238.7716017,"DEC_dt_1",2019-12-17,"POET Influent",0,6,3,7.39391994476318,-3,"NA"
"1003",42.90320299,-73.27178776,2212.402469,238.7716017,"DEC_dt_1",2019-01-23,"POET Influent",0,6,3,7.39391994476318,-3,"NA"
"1004",42.92655068,-73.18943802,5107.297508,73.91177028,"DEC_dt_1",2023-08-17,"Raw",5.4,3,3,5.64918041229248,0,"Away"
"1004",42.92655068,-73.18943802,5107.297508,73.91177028,"DEC_dt_1",2018-05-02,"Raw",3.66,3,3,5.64918041229248,0,"Away"
"1004",42.92655068,-73.18943802,5107.297508,73.91177028,"DEC_dt_1",2017-04-12,"Raw",3.13,3,3,5.64918041229248,0,"Away"
"1004",42.92655068,-73.18943802,5107.297508,73.91177028,"DEC_dt_1",2017-10-18,"Raw",4.08,3,3,5.64918041229248,0,"Away"
"1004",42.92655068,-73.18943802,5107.297508,73.91177028,"DEC_dt_1",2018-10-24,"Raw",4.93,3,3,5.64918041229248,0,"Away"
"1004",42.92655068,-73.18943802,5107.297508,73.91177028,"DEC_dt_1",2022-04-25,"Raw",6.7,3,3,5.64918041229248,0,"Away"
"1004",42.92655068,-73.18943802,5107.297508,73.91177028,"DEC_dt_1",2016-09-28,"Raw",2.61,3,3,5.64918041229248,0,"Away"
"1004",42.92655068,-73.18943802,5107.297508,73.91177028,"DEC_dt_1",2019-04-17,"Raw",6.8,3,3,5.64918041229248,0,"Away"
"1004",42.92655068,-73.18943802,5107.297508,73.91177028,"DEC_dt_1",2019-11-14,"Raw",5,3,3,5.64918041229248,0,"Away"
"1004",42.92655068,-73.18943802,5107.297508,73.91177028,"DEC_dt_1",2020-06-02,"Raw",4.4,3,3,5.64918041229248,0,"Away"
"1004",42.92655068,-73.18943802,5107.297508,73.91177028,"DEC_dt_1",2016-04-13,"Raw",0,3,3,5.64918041229248,0,"Away"
"1007",42.90979111,-73.2520155,605.8662532,221.7864456,"DEC_dt_1",2017-02-02,"POET Influent",480,6,7,1.87677419185638,1,"NA"
"1007",42.90979111,-73.2520155,605.8662532,221.7864456,"DEC_dt_1",2017-02-02,"POET Influent",480,6,7,1.87677419185638,1,"NA"
"1007",42.90979111,-73.2520155,605.8662532,221.7864456,"DEC_dt_1",2016-07-11,"POET Influent",430,6,7,1.87677419185638,1,"NA"
"1007",42.90979111,-73.2520155,605.8662532,221.7864456,"DEC_dt_1",2017-08-28,"POET Influent",490,6,7,1.87677419185638,1,"NA"
"1007",42.90979111,-73.2520155,605.8662532,221.7864456,"DEC_dt_1",2017-08-28,"POET Influent",500,6,7,1.87677419185638,1,"NA"
"1007",42.90979111,-73.2520155,605.8662532,221.7864456,"DEC_dt_1",2016-07-11,"POET Influent",510,6,7,1.87677419185638,1,"NA"
"1007",42.90979111,-73.2520155,605.8662532,221.7864456,"DEC_dt_1",2018-04-03,"POET Influent",590,6,7,1.87677419185638,1,"NA"
"1007",42.90979111,-73.2520155,605.8662532,221.7864456,"DEC_dt_1",2016-05-23,"POET Influent",550,6,7,1.87677419185638,1,"NA"
"1007",42.90979111,-73.2520155,605.8662532,221.7864456,"DEC_dt_1",2016-03-02,"Raw",438,6,7,1.87677419185638,1,"NA"
"1007",42.90979111,-73.2520155,605.8662532,221.7864456,"DEC_dt_1",2018-04-03,"POET Influent",580,6,7,1.87677419185638,1,"NA"
"1007",42.90979111,-73.2520155,605.8662532,221.7864456,"DEC_dt_1",2016-05-03,"POET Influent",570,6,7,1.87677419185638,1,"NA"
"1007",42.90979111,-73.2520155,605.8662532,221.7864456,"DEC_dt_1",2017-02-02,"POET Influent",480,6,7,1.87677419185638,1,"NA"
"1007",42.90979111,-73.2520155,605.8662532,221.7864456,"DEC_dt_1",2016-06-07,"POET Influent",440,6,7,1.87677419185638,1,"NA"
"1007",42.90979111,-73.2520155,605.8662532,221.7864456,"DEC_dt_1",2016-04-13,"POET Influent",510,6,7,1.87677419185638,1,"NA"
"1007",42.90979111,-73.2520155,605.8662532,221.7864456,"DEC_dt_1",2017-02-02,"POET Influent",480,6,7,1.87677419185638,1,"NA"
"1011",42.9262246,-73.26874858,1971.562318,305.1497309,"DEC_dt_1",2019-10-29,"POET Influent",0,8,6,0.988902986049652,-2,"NA"
"1011",42.9262246,-73.26874858,1971.562318,305.1497309,"DEC_dt_1",2021-08-18,"POET Influent",0,8,6,0.988902986049652,-2,"NA"
